source,label,title,text,published_date,word_count,label_id,pred_id,pred,error_category
source_27,not credible,الصحفي محمد عاشوري في ذمة الله,"توفي مساء أمس السبت الصحفي محمد عاشوري إثر إصابته بسكتة قلبية في منزله بالبليدة عن عمر يناهز 63 سنة , حسبما علم اليوم الأحد من عائلته.

ولد الفقيد في 10 فبراير 1958 بباب الوادي بالجزائر العاصمة, له مشوار صحفي وإعلامي حافل, حيث عمل في عدة جرائد ك”لو سوار دالجيغي” و “ليبرتي” و”الوحدة” و”أوريزون” ,كما كانت له تجربة قصيرة دامت حوالي ثلاث سنوات بمكتب وكالة الأنباء الجزائرية بولاية المدية.

واختار المرحوم محمد عاشوري الذي كان يعد من بين أعمدة الصحافة على المستوى الوطني, مواصلة مشواره الإعلامي من خلال التخصص في الملف الصحي حيث أسس مجلة “صانتي ماق” وأصبح مديرا للنشر بها, وكان من بين آخر مشاريعه تأسيس وإدارة مركز إعادة التأهيل الوظيفي بحجر الجاد بالبليدة.",,114,2,0,credible,Source-Specific Artifacts / Boilerplate
source_134,credible,إقرار الخطية بـ 600 مليون دينار ضد شقشوق والبريد التونسي,"علمت موزاييك أن الدائرة الجناحية بالمحكمة الابتدائية بتونس نظرت اليوم الثلاثاء في قضيتين اعتراضيتين متهم فيهما الديوان الوطني للبريد ووزير النقل الحالي معز شقشوق بصفته مديرا عاما سابقا للديوان الوطني للبريد، وذلك للنظر في اعتراضهما على حكمين غيابيين قضيا بخطايا مالية بمئات ملايين الدينارات من أجل القيام بتحويلات مالية الى الخارج على خلاف الصيغ القانونية، مع شهر سجنا في حق شقشوق وخطية مالية من أجل الانتفاع بمنحة سياحية دون وجه حق( قضية ديوانية) .



وقد مثل وزير النقل في جلسة اليوم أمام هيئة المحكمة بحالة سراح، لتقرر حجز ملفي القضيتين للمفاوضة والتصريح بالحكم اثر الجلسة.



وبعد المداولة والمفاوضة، قررت الدائرة القضائية المتعهدة، قبول الاعتراضين شكلا ، وفي الأصل اقرار الحكم الغيابي الابتدائي المتعلق بتحويلات مالية الى الخارج والمحكوم فيه بالخطية بأكثر من 600 مليون دينار.



اما القضية المتعلقة بالانتفاع بمنحة سياحية دون وجه فقد قضت هيئة المحكمة بنقض الحكم الغيابي الابتدائي، والقضاء بعدم سماع الدعوى في حق وزير النقل الحالي معز شقشوق بصفته مديرا عاما سابقا للديوان الوطني للبريد.

ووجب التأكيد على أن الخطايا المالية الصادرة في حق شقشوق هي بضمان الديوان الوطني للبريد.",,174,0,2,not credible,Government & Official Statements
source_82,undecided,بن ناصر سعيد بالعودة لسان سيرو ويتأسف لتعثرهم أمام سامبدوريا — النهار أونلاين,"عبّر إسماعيل بن ناصر عن سعادته بالعودة لتشكيلة ناديه آسي ميلان، مبديا في ذات الوقت أسفه للتعثرهم أمام سامبدوريا.

وكتب بن ناصر، على حسابه الرسمي: “سعيد بالتواجد على أرضية “سان سيرو” من جديد، نبقي رؤسنا مرفوعة رغم النتيجة المخيبة للآمال”.

وشارك بن ناصر أساسيا في هذه المباراة، أين قدم مردود في المستوى، قبل يغادر الملعب في الدقيقة الـ59، تركا فريقه متأخرا في النتيجة بـ1-0.

وتمكن رفقاء اسماعيل بن ناصر، من تعديل النتيجة في الدقيقة الـ87، لتنتهي هذه المواجهة بالتعادل الإيجابي 1-1.",,81,1,2,not credible,Source-Specific Artifacts / Boilerplate
source_73,credible,تطاوين: تواصل عملية التلقيح ضدّ فيروس كورونا لفائدة مهنيي الصحة بنسق بطئ,"يتواصل تطعيم مهني الصحة ضدّ فيروس ""كورونا"" بالمركز الجهوي للتلقيح في ولاية تطاوين بنسق بطيء رغم تسجيل تحسن في نسبة اقبال المدعويين للتلقيح عبر الارساليات القصيرة، اليوم الجمعة، إلى 29 بالمائة، حيث بلغ العدد الجملي للملقحين الى حد اليوم 55 عونا واطارا صحيا، حسب ما أفاد به المدير الجهوي للصحة، طه العنتير، في تصريح لـ""وات"".

هذا وسجلت الادارة الجهوية للصحة بولاية تطاوين خلال اليومين الماضيين حالة وفاة جديدة ناجمة عن فيروس ""كورونا"" في معتمدية تطاوين الشمالية، وبذلك يصبح العدد الجملي للوفيات بالجهة منذ بداية الجائحة في حدود 165 وفاة، 66 منها في تطاوين الشمالية، و35 وفاة في تطاوين الجنوبية، و34 في غمراسن، و11 في بني مهيرة، و8 في البئر الاحمر، و5 في الصمار، و3 في كل من رمادة وذهيبة.

كما سجلت الادارة الجهوية للصحة، وفق تحيينها للوضع الوبائي بالجهة، الصادر اليوم، 4 اصابات، 2 منها في تطاوين الشمالية وحالة في كل من غمراسن وتطاوين الجنوبية، وبذلك يصبح العدد الجملي للمصابين بهذه الجائحة منذ شهر مارس الماضي 2683 اصابة مؤكدة، فيما يخضع حاليا 4 مصابين للعلاج في قسم كوفيد-19 بالمستشفى الجهوي بتطاوين.

",,171,0,2,not credible,Health & COVID-19
source_8,not credible,شرفة :تعليمات بالإسراع في وتيرة الأشغال بملعبي براقي والدويرة,"في إطار متابعة المشاريع المهيكِلة لقطاع الشباب والرياضة، تفقد، والي العاصمة يوسف شرفة،مشروع إنجاز ملعبي براقي و الدويرة ، بزيارة ميدانية تقنية وفجائية، لمعاينة الورشات والوقوف على مدى تقدم الأشغال ونوعيتها على مستوى كل من مشروع ملعب الدويرة ومشروع ملعب براقي.

كما أسدى الوالي تعليمات بالإسراع في وتيرة الأشغال و الحرص على إحترام اللآجال المتفق عليها.

ووقف الوالي شرفة امس، على تقدم أشغال إنجاز ملعب براقي، وأمر بتسريع وتيرة الأشغال خاصة فيما يخص التهيئة الخارجية، المساحات الخضراء والملعب الخاص بالتحضيرات البدنية، مع الإلتزام بإنهاء هذه الأشغال في أجالها المحددة.

سيتوفر ملعب براقي على أرضية ميدان وفق المقاييس العالمية فيفا، أرضية خاصة بالتدريبات والتحضيرات البدنية

ومدرجات تتسع لأكثر من 40 ألف متفرج، 05 مصاعد كهربائية، 25 درج كهربائي، 04 غرف لتغيير الملابس بمساحة 260 متر مربع وفق معايير الفيفا، قاعة مؤتمرات صحفية تتسع لـ 30 مقعد وقاعة محاضرات تتسع لـ 250 مقعد مشيدة على مساحة قدرها 303 متر مربع وفي زيارته إلى ملعب الدويرة، أمر شرفة، بإعادة بعث الأشغال بهذا المشروع وتسريع وتيرتها.

كما شدد والي العاصمة، أنه يجب توفير كل ما يحتاجه الملعب من إضاءة مواقف السيارات ومراعاة احتياجات الرياضيين مضيفا أنه يجب الحفاظ على تاريخ نهاية الأشغال وتسليم المشروع في الوقت المحدد له.

وبدأت أشغال إنجاز ملعبي براقي والدويرة سنة 2004 حيث كان من المفترض استلامهما خلال فترة لن تتجاوز 36 شهرا لكن عدة عراقيل تقنية وإدارية ومالية طرأت على المشروعين اللذين شهدا تأخرا تجاوز 14 سنة ومن بين تلك العراقيل انخفاض قيمة الدينار مما أدى إلى إعادة تقييم المشروعين سنتي 2004 و 2009 إلى جانب منع استيراد بعض مواد البناء من الخارج تطبيقا للإجراءات الأخيرة.

…..ملعب براقي كان مقررا أن يدشن في مارس 2012 ولكن…

إذا تحدثنا عن ملعب براقي فإننا نتحدث عن مشروع تتجاوز الأشغال به نسبة 58.20 بالمائة بالرغم من أنه كان من المشاريع التي كانت مبرمجة للتدشين وكان العاصميون يمنون النفس بهذا الملعب حيث يعد من المشاريع الهامة ببراقي بالجزائر العاصمة، إذ يمكن أن تصل قدرته الاستيعابية إلى 50 أو حتى 60 ألف متفرج، مع أن الشركة المصممة له أشارت في بداية الأشغال إلى حوالي 40 ألف متفرج فقط. علما أن قيمة العقد لإنجاز المشروع بلغت حوالي 100 مليون أورو. ووقع الاختيار بعد المناقصة المنظمة من قبل مديرية الشبيبة والرياضة في 2008 على المجموعة الصينية للهندسة ‘’سي. أر. سي. أو جي’’ التي حددت مدة الإنجاز آنذاك بـ29 شهرا لتسليم مشروع الملعب. ووفقا لما جاء به المصممون في ذلك الوقت، فإن هذه المنشأة ستجهّز بكافة الملاحق والمرافق الضرورية لبعض الرياضات، منها المساحات والأروقة المخصصة لألعاب القوى وميادين كملاحق لكرة القدم وبالإمكان استغلالها من قبل أهم فرق النخبة لمنطقة الوسط. كما استبشر العاصميون بهذا المشروع كونه يقع بعيدا عن التجمعات السكنية عكس ملعب 20 أوت و زيوي والملاعب العاصمية الأخرى. الجدير بالذكر أن الجهات المعنية تتحجج بأن المشروع تأخر بسبب الأشغال الإضافية على مستوى الأساسات.

…..ملعب الدويرة من 29 شهرا إلى أجل غير محدود ولكن…

ملعب الدويرة وبالرغم من أنه الملعب الوحيد الذي يمكن اعتبار الأشغال فيه تسير بوتيرة يمكن وصفها بالمقبولة، إلا أن هو الآخر لا يراعى فيه جانب الوقت ولمن لا يعرف ملعب الدويرة فهو ملعب يقع في الجهة الغربية للجزائر العاصمة شرع في إنجازه في نهاية مارس وبداية أفريل 2010، أسند للشركة الصينية ‘’زيجيانغ للبناء والاستثمار’’ ‘’زاد سي أي جي’’ بتكلفة إجمالية بلغت 969.11 مليار دينار ومدة إنجاز تقدر بـ29 شهرا، مع تحديد نهاية 2012 لتسليمه، إلا أن المشروع على غرار ملعب براقي عرف أيضا تأخرا في الإنجاز ليمتد إلى أجل غير محدد، هذا الملعب تصل قدرته الاستيعابية إلى 50 ألف متفرج بمدرجات مغطاة، يقع تحديدا على الطريق الرابط بين الدويرة وبئر توتة وقد جهّز الملعب بأروقة خاصة بألعاب القوى وملاحق يمكن استغلالها في تنظيم تظاهرات خاصة بالألعاب الجماعية، يضاف إلى ذلك موقف للسيارات بقدرة تصل إلى 5000 سيارة، وسيتم ربط الموقع بشبكة النقل وسيضع مساحات مخصصة للترفيه والإطعام فمتى نرى هذا الملعب جاهزا يا ترى؟

و فسر مدير التجهيزات العمومية هذا التغيير قائلا:”لما تم إعداد مشروع ملعب براقي عام 2009، كان يستجيب تماما لمعايير الفيفا، لكن منذ 2011 تغيرت هذه المعايير لأن ملعب بسعة 60.000 مقعد يتطلب موقفا ل10.000 سيارة. الآن تقلصت سعة الملعب إلى 40.000 مقعد، لذا يجب إنجاز موقف ل 5.000 سيارة، وهو شيء لم يكن ضمن توقعاتنا”.

لذا من الضروري توسيع موقف السيارات، و الفصل بين ممرات المخصصة للجمهور و الدخول المخصص للشخصيات و تسيير التيارات الضعيفة و القوية، من أجل أن يحتضن ملعب براقي منافسات تحت رعاية الفيفا.

و يضيف المدير قائلا:”من اجل تسوية كل هذه المشاكل، يبقى توسيع وعاء المشروع لا مفر منه، والحل يكمن في تحويل الملكية للميدان المجاور للمرفق الرياضي قصد السماح بربط الملعب بمحطة القطار، وهو أمر ممكن تحقيقه، كون ملعب براقي مدرج ضمن المخطط الاستراتيجي لعصرنة ولاية الجزائر”.

سليمان عبدوش",,746,2,0,credible,Economics & Pricing
source_82,undecided,رحلة شاقة.. شباب بلوزداد يطير الى جنوب إفريقيا — النهار أونلاين,"طار شباب بلوزداد صبيحة اليوم الثلاثاء الى بريتوريا، تحسبا لمواجهة ماميلودي صانداونز، في ختام دور المجموعات من رابطة الأبطال الإفريقية.

وسيكون أبناء لعقيبة على موعد مع رحلة شاقة جدا، الى غاية بلاد “البافانا بافانا”، ستدوم 13 ساعة كاملة.

وتنقل زملاء أمير سعيود، دون مُدرب، بإعتبار أن الإدارة لم تحسم لحد الساعة في خليفة فرانك دوما.

ويستهدف بطل الجزائر، تحقيق نتيجة إيجابية أمام “البرازيليين”، من أجل التأهل لدور المجموعات من “التشامبيزليغ”.",,70,1,2,not credible,Source-Specific Artifacts / Boilerplate
source_82,undecided,أيمن بن عبد الرحمان: يجب تسريع وتيرة رقمنة قطاع المالية — النهار أونلاين,"أكّد وزير المالية، أيمن بن عبد الرحمان، اليوم الخميس، على ضرورة تسريع وتيرة رقمنة القطاع.

ودعا الوزير الى التسريع في رقمنته بغية الارتقاء بمستوى الخدمات التي يقدمها، وتحسين مناخ الاستثمار في البلاد.

وجاء هذا في رسالة تهنئة بمناسبة عيد الفطر المبارك نشرت على الموقع الرسمي للوزارة.

وأعرب عن أمله في أن تتوج الجهود المبذولة والمثابرة المتواصلة والعزم الدائم على رفع التحديات الخاصة بقطاع الماليةـ بثمرات طيبة.

وأكد حرصه كل الحرص على تعزيز المكاسب المحققة في كافة مجالات الإصلاح الضريبي والميزانياتي والمالي.

وكذا مواصلة السعي إلى ترشيد الإنفاق العام وإضفاء الشفافية في مجال المالية العامة.

بالإضافة إلى المساهمة في تحسين مناخ الاستثمار والأعمال وتمويل الاقتصاد.

ولفت إلى العناية الخاصة التي يوليها لتسريع وتيرة رقمنة نشاطات المالية العامة والقطاع المصرفي والمالي.

وكذا قطاع التأمينات وأملاك الدولة بكل شعبها من منظور تحسين جودة الخدمة العامة التي يقدمها القطاع.

كما دعا إلى الحرص على الالتزام بالقواعد الصحية من أجل تجاوز الأزمة الصحية في أقرب الآجال.

وأعرب عن امتنانه لعمال المالية على مجهوداتهم للقيام، بالمهام الموكلة لهم، بالرغم من الصعوبات التي نجمت عن هذه الوضعية الاستثنائية.

وتعهد بالعمل بكل تفاني من أجل الرقي بظروف العمل للموظفين إلى المقام الذي يسموا بتطلعاتهم.",,186,1,2,not credible,Source-Specific Artifacts / Boilerplate
source_86,credible,الحكومة تنفي توقف هيئة التأمين الصحي عن تقديم خدماتها بسبب انخفاض المنتفعين,"

وتواصل المركز مع وزارة الصحة، والتي نفت تلك الأنباء، مُؤكدةً أنه لا صحة لتوقف هيئة التأمين الصحي عن تقديم خدماتها الطبية للمواطنين نتيجة لانخفاض أعداد المنتفعين، مُوضحةً أن الهيئة العامة للتأمين الصحي قائمة ومستمرة في تقديم كافة خدماتها الطبية بجميع محافظات الجمهورية لنحو أكثر من 56 مليوناً و883 ألف مواطن.



وشددت الوزارة على أن الهيئة أجرت نحو 92 ألفاً و131 عملية جراحية بنسبة إنجاز 96% من إجمالي العمليات الجراحية ضمن مبادرة رئيس الجمهورية للقضاء على قوائم الانتظار، مُشيرةً إلى أنه جار التحول التدريجي إلى منظومة التأمين الصحي الشامل على مراحل بمختلف محافظات الجمهورية، والتي ستقدم خدماتها الطبية لكافة فئات المواطنين دون تمييز، من خلال كوادر طبية متميزة ومنشآت صحية مجهزة على أعلى مستوى، وقد تجاوز عدد المسجلين بالمنظومة الجديدة ضمن محافظات المرحلة الأولى نحو 4 ملايين مواطن حتى الآن.



ونناشد وسائل الإعلام المختلفة ومرتادي مواقع التواصل الاجتماعي تحري الدقة والموضوعية ‏في نشر الأخبار، والتواصل مع الجهات المعنية للتأكد قبل نشر ‏معلومات لا تستند إلى أي حقائق، وتؤدي إلى إثارة البلبلة بين المواطنين.",,162,0,1,undecided,Government & Official Statements
source_134,credible,رئيس الحكومة: لا خوف من زيارة متاحفنا المؤمّنة.. فتونس بلد للحياة,"أكّد رئيس الحكومة هشام المشيشي في تصريح إعلامي الخميس 18 مارس 2021، أنّه لا خوف من زيارة متحف باردو المؤمن جيدا وكافة الفضاءات الثقافية في تونس، داعيا الزوار للإقبال المكثف على زيارة المتحف والإطلاع على ما يحتويه من كنوز تاريخية وحضارية.

وشدّد على أنّ العمليات الإرهابية دفعت لدعم الإجراءات الأمنية والوقائية بالفضاءات الثقافية والسياحية والمعالم التاريخية ومزيد تأمين حماية البلاد لأن تونس هي مكان للحياة ولا يمكن أن يمر منها الإرهاب، حسب تصريحه خلال زيارة لمتحف باردو لإحياء ذكرى العملية الإرهابية ليوم 15 مارس 2015 وكتابة كلمة تاريخية في السجل الذهبي للمتحف بالاشتراك مع رئيس البرلمان راشد الغنوشي.

ووضع سفراء الدول التي فقدت مواطنيها من السياح خلال العملية الإرهابية الغادرة أكاليل من الزهور ترحما على أرواحهم وعلى شهيد تونس الملازم الأول محمد أمين مرجان .

هناء السلطاني

",,127,0,2,not credible,Government & Official Statements
source_53,not credible,البيض ينخفض.. أسعار الدواجن والبط والأرانب اليوم,"Adver1

البيض ينخفض.. أسعار الدواجن والبط والأرانب اليوم الأحد 04/أبريل/2021 – 09:00 ص Advertisements شيماء مجدي يقدّم موقع ""صدى البلد"" خدمة أسعار أهم المواد الغذائية، والتغيرات التي تطرأ عليها يوميًا، ومن بينها أسعار الدواجن التى استقرت فى مستهل تعاملات اليوم الأحد 4-4- 2021.

أسعار الدواجن اليوم الأحد 4-4- 2021

تراوحت أسعار الدواجن البيضاء اليوم بين 26 و27 جنيهًا للكيلو، وتراوح سعر الدواجن الحمراء ""الساسو"" بين 32 و33 جنيهًا، أما سعر كيلو الدواجن البلدي فوصل إلى 36 جنيهًا، وتراوح سعر كيلو الأمهات من 19إلى 20 جنيهًا.

وتراوح سعر الكتكوت الأبيض بين 7 و8 جنيهات، وسجّل الكتكوت الأحمر ""ساسو"" نحو 2.50 جنيه، والكتكوت البلدي نحو 3.50 جنيه، وتراوح سعر كتكوت السمان بين 2.25 و6 جنيهات.

وسجّل البيض الأبيض والبيض الأحمر سعرا يتراوح بين 32 و32 جنيهًا للكرتونة، أما كرتونة البيض البلدى فسجّلت 32 جنيهًا، وسجل لحم الأرانب سعرا يتراوح بين 43 و41 جنيهًا.

كما سجّلت أسعار البط المسكوفي 12 جنيهًا، والمولر ""عمر يوم"" سعر 13.50 جنيه، والبط البكينى 7 جنيهات، وكيلو لحم البط المولار 33 جنيهًا، أما لحم البط الفرنساوى فيصل إلى 24 جنيها، وكيلو لحم البط المسكوفى 47 جنيهًا.

وبلغ سعر الكتكوت الرومى عمر يوم 17 جنيهًا، والكتكوت الرومى الأسمر عمر يوم 16.50 جنيه، والكتكوت الرومى البرونزى عمر يوم 17 جنيهًا. Advertisements

المصدر أخبار البلد",,204,2,1,undecided,Economics & Pricing
